meter_id,risk_score,risk_category
MT_158,0.07610305958132044,Low Risk
MT_159,0.05610305958132045,Low Risk
MT_160,0.007407407407407407,Low Risk
MT_161,0.11407407407407408,Low Risk
MT_162,0.07610305958132044,Low Risk
MT_163,0.13407407407407407,Low Risk
MT_164,0.01610305958132045,Low Risk
MT_165,0.0,Low Risk
MT_166,0.03610305958132045,Low Risk
MT_167,0.0,Low Risk
MT_168,0.01610305958132045,Low Risk
MT_169,0.008695652173913044,Low Risk
MT_170,0.0,Low Risk
MT_171,0.0,Low Risk
MT_172,0.11809357759370864,Low Risk
MT_173,0.0,Low Risk
MT_174,0.006425920913812971,Low Risk
MT_175,0.0,Low Risk
MT_176,0.0,Low Risk
MT_177,0.0,Low Risk
MT_178,0.0,Low Risk
MT_179,0.03610305958132045,Low Risk
MT_180,0.48442896290695875,Medium Risk
MT_181,0.0,Low Risk
MT_182,0.0,Low Risk
MT_183,0.3973057018081644,Medium Risk
MT_184,0.0,Low Risk
MT_185,0.0,Low Risk
MT_186,0.0,Low Risk
MT_187,0.015241923368901303,Low Risk
MT_188,0.0,Low Risk
MT_189,0.0,Low Risk
MT_190,0.0,Low Risk
MT_191,0.0,Low Risk
MT_192,0.0,Low Risk
MT_193,0.0,Low Risk
MT_194,0.0,Low Risk
MT_195,0.0,Low Risk
MT_196,0.008695652173913044,Low Risk
MT_197,0.0,Low Risk
MT_198,0.0,Low Risk
MT_199,0.0,Low Risk
MT_200,0.0,Low Risk
MT_201,0.0,Low Risk
MT_202,0.0,Low Risk
MT_203,0.12194601521250056,Low Risk
MT_204,0.0,Low Risk
MT_205,0.0,Low Risk
MT_206,0.0,Low Risk
MT_207,0.0,Low Risk
MT_208,0.0,Low Risk
MT_209,0.0,Low Risk
MT_210,0.0,Low Risk
MT_211,0.0,Low Risk
MT_212,0.0,Low Risk
MT_213,0.0,Low Risk
MT_214,0.0,Low Risk
MT_215,0.0,Low Risk
MT_216,0.0,Low Risk
MT_217,0.0,Low Risk
MT_218,0.0,Low Risk
MT_219,0.3214070867523919,Medium Risk
MT_220,0.0,Low Risk
MT_221,0.0,Low Risk
MT_222,0.0,Low Risk
MT_223,0.01542401128452316,Low Risk
MT_224,0.0,Low Risk
MT_225,0.0,Low Risk
MT_226,0.0,Low Risk
MT_227,0.0,Low Risk
MT_228,0.0,Low Risk
MT_229,0.0,Low Risk
MT_230,0.0,Low Risk
MT_231,0.0,Low Risk
MT_232,1.0,High Risk
MT_233,0.0,Low Risk
MT_234,0.8819303584543828,High Risk
MT_235,0.008695652173913044,Low Risk
MT_236,0.0,Low Risk
MT_237,0.03610305958132045,Low Risk
MT_238,0.01610305958132045,Low Risk
MT_239,0.0,Low Risk
MT_240,1.0,High Risk
MT_241,0.0,Low Risk
MT_242,0.0,Low Risk
MT_243,0.0,Low Risk
MT_244,0.0,Low Risk
MT_245,0.0,Low Risk
MT_246,0.0,Low Risk
MT_247,0.0,Low Risk
MT_248,0.0,Low Risk
MT_249,0.01610305958132045,Low Risk
MT_250,0.0,Low Risk
MT_251,0.03610305958132045,Low Risk
MT_252,0.0,Low Risk
MT_253,0.0,Low Risk
MT_254,0.0,Low Risk
MT_255,0.0,Low Risk
MT_256,0.0,Low Risk
MT_257,0.0,Low Risk
MT_258,0.0,Low Risk
MT_259,0.0,Low Risk
MT_260,0.0,Low Risk
MT_261,0.008695652173913044,Low Risk
MT_262,0.0,Low Risk
MT_263,0.01610305958132045,Low Risk
MT_264,0.0,Low Risk
MT_265,0.0,Low Risk
MT_266,0.0,Low Risk
MT_267,0.008695652173913044,Low Risk
MT_268,0.0,Low Risk
MT_269,0.0,Low Risk
MT_270,0.0,Low Risk
MT_271,0.0,Low Risk
MT_272,0.0,Low Risk
MT_273,0.0,Low Risk
MT_274,0.0,Low Risk
MT_275,0.0,Low Risk
MT_276,0.0,Low Risk
MT_277,0.0,Low Risk
MT_278,0.0,Low Risk
MT_279,0.8042037200379291,High Risk
MT_280,0.0,Low Risk
MT_281,0.0,Low Risk
MT_282,0.0,Low Risk
MT_283,0.0,Low Risk
MT_284,0.0,Low Risk
MT_285,0.0,Low Risk
MT_286,0.0,Low Risk
MT_287,0.0,Low Risk
MT_288,0.008695652173913044,Low Risk
MT_289,0.0,Low Risk
MT_290,0.05610305958132045,Low Risk
MT_291,0.0,Low Risk
MT_292,0.32946491663448396,Medium Risk
MT_293,0.0,Low Risk
MT_294,0.0,Low Risk
MT_295,0.0,Low Risk
MT_296,0.0,Low Risk
MT_297,0.03610305958132045,Low Risk
MT_298,0.0,Low Risk
MT_299,0.0,Low Risk
MT_300,0.0,Low Risk
MT_301,0.0,Low Risk
MT_302,0.0,Low Risk
MT_303,0.0,Low Risk
MT_304,0.01610305958132045,Low Risk
MT_305,0.01610305958132045,Low Risk
MT_306,1.0,High Risk
MT_307,0.0,Low Risk
MT_308,0.0,Low Risk
MT_309,0.0,Low Risk
MT_310,0.0,Low Risk
MT_311,0.0,Low Risk
MT_312,0.0,Low Risk
MT_313,0.0,Low Risk
MT_314,0.0,Low Risk
MT_315,0.07610305958132044,Low Risk
MT_316,0.0,Low Risk
MT_317,0.0,Low Risk
MT_318,0.0,Low Risk
MT_319,0.0,Low Risk
MT_320,0.0,Low Risk
MT_321,0.0,Low Risk
MT_322,0.0,Low Risk
MT_323,0.0,Low Risk
MT_324,0.0,Low Risk
MT_325,0.0,Low Risk
MT_326,0.0,Low Risk
MT_327,0.0,Low Risk
MT_328,0.9995717762338637,High Risk
MT_329,0.0,Low Risk
MT_330,0.0,Low Risk
MT_331,0.0,Low Risk
MT_332,0.0,Low Risk
MT_333,0.0,Low Risk
MT_334,0.0,Low Risk
MT_335,0.0,Low Risk
MT_336,0.0,Low Risk
MT_337,0.0010632609824250748,Low Risk
MT_338,0.0,Low Risk
MT_339,0.0,Low Risk
MT_340,0.0,Low Risk
MT_341,0.008695652173913044,Low Risk
MT_342,0.005763691719548566,Low Risk
MT_343,0.0,Low Risk
MT_344,0.0,Low Risk
MT_345,0.008695652173913044,Low Risk
MT_346,0.0,Low Risk
MT_347,0.03610305958132045,Low Risk
MT_348,0.13531630543986695,Low Risk
MT_349,0.0,Low Risk
MT_350,0.0,Low Risk
MT_351,0.0,Low Risk
MT_352,0.0,Low Risk
MT_353,0.0,Low Risk
MT_354,0.0,Low Risk
MT_355,0.0,Low Risk
MT_356,0.0,Low Risk
MT_357,0.0,Low Risk
MT_358,0.0,Low Risk
MT_359,0.007407407407407407,Low Risk
MT_360,0.0,Low Risk
MT_361,0.01610305958132045,Low Risk
MT_362,0.008695652173913044,Low Risk
MT_363,0.0,Low Risk
MT_364,0.0,Low Risk
MT_365,0.0,Low Risk
MT_366,0.01610305958132045,Low Risk
MT_367,0.0,Low Risk
MT_368,0.03610305958132045,Low Risk
MT_369,0.028695652173913046,Low Risk
MT_370,0.04,Low Risk
